nome,url,preço,local,hora,data
Apple Watch Série 3 - 42 mm: Usado,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/apple-watch-serie-3-42-mm-usado-658368575?xtmc=celular&xtnp=1&xtcr=27,R$ 1.499,"Rio de Janeiro, Praça da Bandeira",13:55,Hoje
Moto G6 play,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-g6-play-658368216?xtmc=celular&xtnp=1&xtcr=28,R$ 600,"Rio de Janeiro, São Cristóvão",13:55,Hoje
IPhone 8 256GB zero na Caixa,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-8-256gb-zero-na-caixa-658368005?xtmc=celular&xtnp=1&xtcr=29,R$ 1.900,"Rio de Janeiro, Tauá",13:54,Hoje
K10 32gb,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/k10-32gb-658368008?xtmc=celular&xtnp=1&xtcr=30,R$ 400,"Rio de Janeiro, Guadalupe",13:54,Hoje
Display touch lcd motorola one action,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/display-touch-lcd-motorola-one-action-658362582?xtmc=celular&xtnp=1&xtcr=31,R$ 599,"Rio de Janeiro, Ricardo de Albuquerque",13:52,Hoje
A5,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/a5-658362074?xtmc=celular&xtnp=1&xtcr=32,R$ 200,"Rio de Janeiro, Piedade",13:52,Hoje
Galaxy s9 plus,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/galaxy-s9-plus-658361782?xtmc=celular&xtnp=1&xtcr=33,R$ 2.000,"Rio de Janeiro, Del Castilho",13:52,Hoje
Moto G4 Play Celular Com TV Digital (Ótimo Estado),https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-g4-play-celular-com-tv-digital-otimo-estado-658358977?xtmc=celular&xtnp=1&xtcr=34,R$ 280,"Rio de Janeiro, Madureira",13:51,Hoje
Moto g5s plus,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-g5s-plus-658358262?xtmc=celular&xtnp=1&xtcr=35,R$ 430,"Rio de Janeiro, Vigário Geral",13:51,Hoje
IPhone 6s 32gb,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-6s-32gb-658358026?xtmc=celular&xtnp=1&xtcr=36,R$ 900,"Rio de Janeiro, Vigário Geral",13:51,Hoje
Smartphone Samsung j5 16mb,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/smartphone-samsung-j5-16mb-658358333?xtmc=celular&xtnp=1&xtcr=37,R$ 300,"Rio de Janeiro, Engenho de Dentro",13:49,Hoje
Samsung J7 Pro 64 GB,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/samsung-j7-pro-64-gb-658353418?xtmc=celular&xtnp=1&xtcr=38,R$ 479,"Rio de Janeiro, Vila da Penha",13:49,Hoje
Moto G7 play dual chip tela trincada funciona tudo perfeitamente,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-g7-play-dual-chip-tela-trincada-funciona-tudo-perfeitamente-658351588?xtmc=celular&xtnp=1&xtcr=39,R$ 380,"Rio de Janeiro, Irajá",13:48,Hoje
Moto c plus,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-c-plus-658351473?xtmc=celular&xtnp=1&xtcr=40,R$ 100,"Rio de Janeiro, Oswaldo Cruz",13:48,Hoje
Moto e 5,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-e-5-658350689?xtmc=celular&xtnp=1&xtcr=41,R$ 265,"Rio de Janeiro, Oswaldo Cruz",13:47,Hoje
Nexus 4 funcionando leia o anúncio,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/nexus-4-funcionando-leia-o-anuncio-658345922?xtmc=celular&xtnp=1&xtcr=42,R$ 200,"Rio de Janeiro, Tijuca",13:06,Hoje
J5 v/t,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/j5-v-t-658344275?xtmc=celular&xtnp=1&xtcr=43,R$ 250,"Rio de Janeiro, Jacaré",12:44,Hoje
IPhone 8 Plus,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-8-plus-658344176?xtmc=celular&xtnp=1&xtcr=44,R$ 2.449,"Rio de Janeiro, Bonsucesso",12:43,Hoje
Galaxy S10 Plus,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/galaxy-s10-plus-658344133?xtmc=celular&xtnp=1&xtcr=45,R$ 2.689,"Rio de Janeiro, Bonsucesso",12:42,Hoje
Moto G6 Play R$500,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-g6-play-r-500-658342753?xtmc=celular&xtnp=1&xtcr=46,R$ 500,"Rio de Janeiro, Costa Barros",12:26,Hoje
Fone e Radio S9 aceita cartão de memoria,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/fone-e-radio-s9-aceita-cartao-de-memoria-658341619?xtmc=celular&xtnp=1&xtcr=48,R$ 80,"Rio de Janeiro, Del Castilho",12:01,Hoje
Samsung Dex Station,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/samsung-dex-station-658340793?xtmc=celular&xtnp=1&xtcr=49,R$ 220,"Rio de Janeiro, Vila Isabel",11:41,Hoje
Troco Galaxy S10e,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/troco-galaxy-s10e-658340093?xtmc=celular&xtnp=1&xtcr=50,R$ 2.000,"Rio de Janeiro, Madureira",11:25,Hoje
J1 mini funcionando perfeitamente,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/j1-mini-funcionando-perfeitamente-658347950?xtmc=celular&xtnp=2&xtcr=1,R$ 150,"Rio de Janeiro, Higienópolis",13:32,Hoje
S9 + 128 gb,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/s9-128-gb-658346032?xtmc=celular&xtnp=2&xtcr=2,R$ 1.300,"Rio de Janeiro, Guadalupe",13:05,Hoje
Atendente Telefonista Digital Microtel,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/atendente-telefonista-digital-microtel-658345792?xtmc=celular&xtnp=2&xtcr=3,R$ 450,"Rio de Janeiro, Água Santa",13:05,Hoje
Moto Z play R$500,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-z-play-r-500-658343029?xtmc=celular&xtnp=2&xtcr=4,R$ 500,"Rio de Janeiro, Costa Barros",12:30,Hoje
Moto G5 R$300,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-g5-r-300-658342878?xtmc=celular&xtnp=2&xtcr=5,R$ 300,"Rio de Janeiro, Costa Barros",12:28,Hoje
Moto E5 plus r$ 500,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/moto-e5-plus-r-500-658342761?xtmc=celular&xtnp=2&xtcr=6,R$ 500,"Rio de Janeiro, Costa Barros",12:26,Hoje
Samsung Galaxy S8,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/samsung-galaxy-s8-658342584?xtmc=celular&xtnp=2&xtcr=7,R$ 600,"Rio de Janeiro, Vila Isabel",12:24,Hoje
IPhone 6 Plus 16g vendo ou troco com mais uma volta,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-6-plus-16g-vendo-ou-troco-com-mais-uma-volta-658342041?xtmc=celular&xtnp=2&xtcr=9,,"Rio de Janeiro, Bonsucesso",12:17,Hoje
Vendo iphone Se,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/vendo-iphone-se-658342064?xtmc=celular&xtnp=2&xtcr=10,R$ 750,"Rio de Janeiro, Vicente de Carvalho",12:16,Hoje
Asus Zenfone Mx1 Usado com embalagem desbloqueado,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/asus-zenfone-mx1-usado-com-embalagem-desbloqueado-658340031?xtmc=celular&xtnp=2&xtcr=11,,"Rio de Janeiro, Colégio",11:24,Hoje
Pulseira de silicone para Apple Watch,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/pulseira-de-silicone-para-apple-watch-658339854?xtmc=celular&xtnp=2&xtcr=12,R$ 27,"Rio de Janeiro, Irajá",11:20,Hoje
Vendo,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/vendo-658338705?xtmc=celular&xtnp=2&xtcr=13,R$ 400,"Rio de Janeiro, Colégio",10:47,Hoje
A6 Esportivo Smart a prova d'água e sensor,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/a6-esportivo-smart-a-prova-d-agua-e-sensor-658335887?xtmc=celular&xtnp=2&xtcr=14,R$ 189,"Rio de Janeiro, Del Castilho",09:15,Hoje
IPhone 7,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-7-658335465?xtmc=celular&xtnp=2&xtcr=15,R$ 1.300,"Rio de Janeiro, Benfica",09:05,Hoje
IPhone 8 Plus 64 g,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-8-plus-64-g-658334528?xtmc=celular&xtnp=2&xtcr=16,R$ 2.900,"Rio de Janeiro, Cacuia",08:40,Hoje
LG k11+ dual chip tela trincada funciona tudo perfeitamente 32gb,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/lg-k11-dual-chip-tela-trincada-funciona-tudo-perfeitamente-32gb-658334455?xtmc=celular&xtnp=2&xtcr=17,R$ 260,"Rio de Janeiro, Irajá",08:38,Hoje
